"linenumber","sentiment","tweet_text"
1333,5,"Gwamnatin jahar bauchi karkibamu kunya don kina da kokari sosai kinga kuma idon yan adawannan sukaji sunsami,abun fadi"
1335,-1,"Nima gasakona ga,iyalensa allah gafarta masa mukuma,intamu ta allah sa,mucika,da,imanai"
1336,-1,"Allah kara,tuna asirin su"
1337,2,"A yaxamo dole gwamnatin ghana ta maida,hankali akansu"
1338,0,"Mudawannan na uran ma da kudin akabaiwa talakawa suka sayyi abinci da kudin ma"
1339,0,"Kugaya mishi kofi Africa ma yakasa kawoshi saina duniya bayasodai taliyarsa takare A najeriya shiyasa yafad"
1340,-1,"Daman sun san karyar banza ce. Ace ba naurar da suka taba kirkira sai ta Corona ?"
1341,-2,"Macha Allah. Allah ya kara Bassira, Can da man masana sun ce anfi samun mafi ta a matsala massaman a yayi"
1342,1,"Allah ya mana maganin wannan cuta"
1343,3,"A kafa zamu ko da mota?"
1346,0,"Kasashen Duniya"
1347,-1,"Bature ma ya iya yaudara"
1348,5,"Allah shikara Kuma Allaj yabasu nasara akansa"
1349,-2,"gara haka, suma su ji abunda muke ji."
1350,1,"Allah natare dashi mugu bai tasiri akansa"
1351,3,"UHmmmmm! Mu dai fatanmu a wannan kasa, Allah ya karbi rayukanmu muna musulmai masu eemani, don gaskiya ab"
1353,-1,"Hhhhhhh aikin banza yafada kuka yi amfani da hakan wajan batashi ga talakawan arewa marasa ilimi waj"
1354,0,"A sayar mana dame talaka ya amfana"
1356,3,"Hmmmmmmm To Allah ya kyauta Kuma ya Tabbatar mana da Alkhairi"
1357,0,"Hakan yana da kyau"
1359,1,"Hmmm ko"
1360,3,"Allah yakara kare mai gaskiya"
1361,-13,"Kun hada kansu dai, kuka kulla musu yarjejeniya. Ai ba komai. Ko ana zaune kafiyama dole za a mutu. Ni dama C"
1362,4,"Da fata alheri RFI Hausa."
1363,0,"Kai lalle Atiku kacika an jari hujja"
1366,1,"Toh ko ita fa amma dai gsky akwai kalubale kam dga jihar gombe muke bedanku"
1368,2,"To fa wata sabuwa allah ya kwuta"
1371,-1,"Hmm.. Nigeria, duk kansu barayayine"
1372,2,"Yaran ko fan yake padawa amma"
1375,0,"Allah ya kyauta."
1376,4,"torrr tasayar mana dama wani amfani gareta"
1377,0,"Zancen banza ai bakinsu daya"
1379,4,"Dadin bature ke nan , akwai fadin gaskiya. To yan Arsenal kunji uban gidanku me yace. Kowa ya tuba dan wuya"
1380,3,"Tofah allah yakawo mana sauki"
1381,1,"Su daina yaudararmu. Allah ka saka mana duk wadanda suka ci amanarmu"
1382,1,"Sai ta dawo"
1383,-1,"Daman mun san basuda kwarewa ta jagoranci amma jama'a suka ki amincewa da zancen mu,shin me yahanasu sanar"
1384,-2,"Gskyn tsoho aekinka nakyau we sport % up up ja"
1386,-2,"Nawa akai farashi rfi"
1387,4,"Asiyar mana har damu gaba daya. Ai duniya rawar yan matace. Matsalar mai Certificate din secondary ya ke mu"
1388,-1,"Saura talakawan nigeria"
1389,4,"Maganar knn kullum, Allah dai ya shirya"
1390,0,": Daman a wajen campaign din shi yace ze siyar da mutane sukay ta cece kuce ashe abun alheri"
1391,-3,"Abunda suka iya knn, ba sanin hakkin alumma ba, Allah ya shirye sure."
1395,-2,"Wato gwamnatin apc takasa kawo mana chigaba duk da shekarun datayi abaya shiyasa yanxu tace xatabi tsarukan"
1396,-1,"Nan muka kama zagin atiku da yayi wannan maganar, toh ga baba nan yazo wajen"
1397,-1,"Hegiya karya"
1398,1,"Ikon Allah, abin da muka guda daga Atiku ya tabbata"
1399,0,"atikun dai, railway line from Nigeria to niger republic atiku idea likewise selling of nnpc another a"
1400,4,"Abunda atiku yai kamfen dashi kenan ya Bata rawarsa da tsalle,wannan shine gaba Kira baya siyaki"
1401,0,"Daman a wajen campaign din shi yace ze siyar da mutane sukay ta cece kuce ashe abun alher"
1403,-1,"Kash andai guduwa atiku, but ba'atsirabaah"
1404,1,"Hmm to mi zatayi da kudin?"
1405,5,"In sunga dama ma su sayar da Najeriyar ma gaba aya mana"
1406,0,"Susiyar da nageriar ma gabadaya mudae Allah yabamu abun da xamuci musha har iya karshen rayuwarmu"
1407,3,"Allah Ya Rusasu Allah Ya Daukaka Musulunci da Musulmi"
1408,3,"Da Alamu dai kasawarsu ta bayyana a fili."
1409,1,"Sai dai ince Allah ya kawo sauki"
1410,-1,"Fada Masu"
1411,1,"Yadda zaka Mai da rubutun da kayi da hausa ya koma na turancI ko larabci, koda turanci akayi maka mEssage"
1412,-1,"Mu bamusan afanin wannan kazamin mulki ba mungaji da addua ku kuyi taku adduar"
1413,-3,"Da mah can Allah neh yarike tah bawani bah yanzu mah shi zai rikata insha Allah"
1415,0,"Sai ku sauka kawai ku barmu muyi adduar tunda ta bangaren ku ba zaku iya ba sai kara lalatawa ma"
1417,2,"Allah muke roko yakare shi daga sharrin mugaye,da yan ta'adda ,Allah tunawa wadanan mutane asiri,Allah hana 2"
1418,-3,"Him wai har yanzu akwai korona"
1419,4,"gwamnan borno karike gaskiya allah zai tsareka daga sharin dan adam albarka annabi da alqur'ani"
1420,-2,"Allah y'a kare kasashan m daga harin d' addanci kuma allah y'a rabamu d' yan tawayan Ad'dini GABA d'A G"
1422,1,"Allah ya kawo mana sauki"
1423,2,"Masha Allah kaga ko yai ya tashi cikin aramin lokaci zasu shafe Israel a doron asa"
1424,0,"Allah ya kare shi da jama'ar sa amin"
1425,1,"Idan har jamian tsaro bazasu iya kareshiba to indai jama'an gari suna sonsa to sai sutashi su kawo gudumawa"
1426,0,"Mai daki shi yasan inda yake masa yoyo. Akwai lauje a cikin nadi."
1427,-2,"Allah ka tsare mana gwamna Zulum, ka kawo karshen Taaddanci a Borno da najeriya baki daya"
1428,0,"Abin tambaya meyasa akeso akashe governor zulumne? Koma meye amsar Allah yatsare shi damu bakidaya"
1429,0,"Wlhi da gangancin gomnati acinkin lamarinnan"
1430,1,"Allah zai cika haskensa koda kafurai basa so"
1431,1,"To allah yasa"
1434,5,"Yadda zaka aika hoton ka a chanza maka salon shi batare da hannun ka yayi aikin ko mai ba shiga link"
1435,4,"Gaskiya kowanne irin dalili yakedashi kamata yayi akamashi ai gurin ibadane kuma guri mai tserki bayannan h"
1436,5,"Daidaine asa ido sosai akan wannan lamarin"
1437,1,"Ato madallah dawannan kokarin da ecowas tayi allah kyauta"
1438,0,"Allah badasaa Allah kyauta"
1440,0,"Sudai bi ahankali kada sukama mutanen kasar baki daya"
1441,2,"Bada agajinka shiyafi muhimmanci ba nuna rashin jindadin abun ba ai talakama abunda kanunadinnan shima baiwuce hakan xainunaba"
1442,0,"Nada abarsu amusu hukunci mai tsanani sugane sun aikata babban kuskure"
1443,6,"Allah daidai tasu"
1445,5,"Gaskiyane yakamata aduba lamarin sosai"
1447,-1,"Allah tayasu riko da kotanta adalci"
1448,2,"Zabin Allah shine zabi, inji masu iya magana. Fatana ga mutanan zazzau Allah yasa jinkirin nada sabon sarki 2"
1449,6,"Yadda zaku cire wani in ya shiga hoton ku ko wani abu ya fito acikin hoton ba tare da background din ya"
1450,-1,"Ka ji Shata ikon Allah... Dodo mai rauhanai."
1452,3,"Allah ya kyautata makwancinsa ya haskaka qabarinsa"
1453,0,"ALLAH ya ji qan Malam. Yasa aljanna makoma"
1455,-1,": Allah kara lullube makwanchi da Rahma"
1456,-1,"Allah kara lullube makwanchi da Rahma"
1457,0,"Allah yasaka masa da gidan Aljannah"
1458,2,"Allah ya jikan malan. Amin"
1459,-1,"Allahu Akbar, Allah ya gafartawa Mallan da gidan Aljannah ya Kuma yiwa zuri'atai Albarka."
1460,10,"""Karatun Hadithi da aiki dashi, shine zaman lpy ga musulmi"" Sheikh Gumi."
1461,1,"Barka da zuwa"
1462,1,"To Allah ya yafe mana baki daya"
1463,1,"Subhanallah. Rashin yi wa masu mugun aikin nan hukunci..."
1464,-1,"Subhanillah ya Allah yakawo karshen Wan nan Ambaliyan"
1465,2,"Yadai fada Masa gaskiya Kuma kowane Dan Nigeria yanada yancin fadar albarkacin bakinsa"
1466,1,"Ehmana mugun raini ma amma shi awajen sa gani yake yayi saboda yayi rashin dada wallayi in nine baba"
1467,-1,"an yafe amma kar akara tafka irin wannan kuskuren don yasabawa shari, a dama Al, adar ba hausa fulani"
1468,-1,"Rashin tarbiya ke damunsa."
1469,3,"Tsalle daya akeyi a fada rijiya Amman Sai ayi dubu ba a fito. Nima GA nawa. Idan naman Kai da dadi..... A Karasamin"
1470,6,"Janzaki Maci abokan gaba Duka mai Hana gaisawa Tsohon bango koka danne mai gari bakomai Bakin ciki hana B"
1471,-1,"Yayi ma baba raini yayiwa sohonshi nama"
1472,-1,"Raini neh wannan"
1473,2,"Allah yasa ba yaudararsu zaaiba sannan mu gani a kasa yan kasa su tabbatar da hakan ameen"
1474,1,"Mu ajje maganan siyasa a gefe! Wizkid ya raina Baba Buhari, don ko kune baza kuso ayi wa baban ku hakan bah."
1478,1,"Kwal uba Yasin A dinga kashe kwaratan nan"
1479,2,"Dama ai Twitter wajen bayyana ra'ayi ne! Babu wani raini..."
1481,4,"Hasbunallahu waniimal wakil, Allah ya shirya ya tsare mana zuriarmu."
1482,-2,"Wannan ba raini banee gskya yke faada"
1483,1,"Ba wani raini kawai gaskiya ya fada masa"
1484,5,"Of course ya nuna rashin tarbiyya a zahiri"
1485,3,"Ita dai rayuwar nan ko ka yi raini ko ba kayi ba, abinda ka yi shi zaai ma!"
1487,-1,"Aa bayyi ba"
1488,2,"Allah yataimaki wannan kafa mai albarka"
1489,0,"Innalillahi allah ya maidamusu da alkhairi"
1490,3,"Gaskiya ya fada ba rainin wayo bane"
1491,0,"Ta nemi afuwar Allah. Domin gaskiya ta tafka kuskure babba"
1493,0,"Harda Adamawa da sauran Garuruwan Arewacin Nigeriya"
1494,0,"Wani Basakkwace yace Kanawa basu yin tuwo sai dai suci gurasa, fankasau, Biski da Danwake."
1495,0,"Tsalle daya ake afada rijiya amma sai aidubu ba a fitoba"
1496,4,"Tsalle aya ake yi a faa rijiya, sai ayi dubu ba'a fito ba."
1497,-2,"Allah sarki Allah y kawo mana dauki"
1498,-2,"Wannan ambaliyar ruwa allah yakawo mana saukinta"
1501,2,"Yin wa ko Allah kawo sauki, baba buhari daga vila sae jannah Allah yasa hakan"
1502,0,"Saboda suna ragewa mutane hanya ne.."
1503,0,"kanawan dabo, ko dame kazo anfika"
1505,1,"Hausawa sunce tsalle daya ake afada rijiya amma sai ayi dubu ba fito ba"
1506,-2,"Subhanailla Ya Allah kawo mana karshen wannan bala'i"
1509,-6,"Tsalle daya ana nufin cewa jefa kai cikin wahala,domin kuwa bahaushe cewa yayi tsalle daya akeyi a fada c"
1510,0,"....Ake fadawa rami, sai anyi dubu ba'a fito ba."
1512,4,"At least tayi nadam, sai akiyaye gaba Allah ya tsaremu daga Sharrin shedan, Allah kuma yasa itama Fatimah 2"
1513,6,"Wannan shine daidai, yagirbi abinda yacuka."
1515,-1,"Akeyi a fada rijiya"
1516,3,"Tsalle daya ake fadawa a rijiya sai kayi tsalle dubu baka fitoba"
1517,3,"Hasbunallahu waniimal wakeel. Allah yakai haske kaburransu"
1518,-3,"Trump kenan, mai magana da warwara kaman tababbe."
1520,5,"gaskiya wannan Runbun bai kamata ace a ZAMFARA yake ba, saboda tabarbarewar Tsaro"
1522,4,"Gaskiya kam Africa haryanzudai angudu baa tsiraba. Allah gamu gareka."
1523,1,"Toh! Anazaton Wuta amakera sai kwatsam aka risketa amasaka."
1524,-1,"Toh ai wannan matsalar ba Neja kaai tashafaba BBC, Ruwan darene game Dniya."
1525,-2,"Allah ya kawo karahen wannan."
1527,-1,"Mutuwar zuciya kenan, amadadin sata kaima kanemo nakamana"
1528,0,"Koda me kazo anfika. Ana Yunwa"
1529,-1,"Kacin dankali kenan, babba akan karami. Muma Allah kawadashemu da wadatan zuci."
1530,-9,"Afahimtata awannan Karin magana shine: Dm sau aya take zuwama arayuwa, don haka kada kayi wasa da ita"
1532,1,"Tsalle daya ake a fada rijiya Amma sai a shekara dubu ba'a fito ba"
1534,0,"Kuskuren kadan ko karami zaka aikata to Amma zai sa balaki fa nadama Mai yawa"
1535,-3,"Allah dai ya kara shiyar yasu wa .Amma dai an riga anyi kuskure."
1536,-1,"Mutum abu kadan zai iya sashi amatsalanda zai sha wuya"
1539,4,"Kai Duniya Allah Ya Kawi Mana Sauki Rayuwa Tayi Tsada"
1540,8,"Allah ka daukaka mana wannan kuncin rayuwa da ake ciki Allah ka shiga cikin dukkan lamura mu"
1541,-1,"Tsalle daya Ake fada riji sai Anyi Ba a fuba"
1542,2,"Tsalle daya ake a fada next level sai anyi dubu ba'a fito bah"
1543,-1,"Wai America ce kama watakasa gargadin magudin zabe"
1545,2,"Tsalle ake fadawa rami amma sai kayi baka fito ba"
1546,-2,"Tsalle daya ake fadawa Rami, Amma sai kayi goma baka fitoba!!! Hauwasa sukace iya ruwa fidda kai"
1547,3,"Tsalle daya akeyi a fada rijiya, Sai kayi dubu baka fito ba"
1548,0,"Tsalle da akefadawa Rijiya Tsalle Dubu Ba'a futowa"
1549,1,"Taalle daya zaka fada rijiya Amma sai Kayi goma baka fita ba. Ka iya takon ka, Kayi takatsantsan kada Ka"
1550,2,"Tsalle Daya akeyi ake fadawa rami amma sai kayi dubu baka fitoba"
1552,-4,"Zaka tsallake"
1554,-4,"Zaka tsallake"
1555,-2,"Wannan kirarin akwai kuskure a ciki. Don kowa ya shiga sai aljihun sa ta raunana."
1556,0,"Ba wani mamaki,saboda bayada yadda dama harkar kasuwancinsa take da karfi ta yanar gizogizo shi ba ya kwa"
1557,-1,"Gasjiya koma za afarada manyamanya mutane masu chinhaci ta rashawa a Nigeria"
1558,1,"Tayi tsurara ma tafito waje man me ruwanmu da itah"
1559,0,"yunwa ta fara yawa yasin"
1561,-2,"kunga mai kishi Arsenal"
1563,0,"Ana tsoronmu ni da iya..."
1564,0,"Tun kafin a haifi uwar mai sabulu balbela take da farinta"
1565,10,"Tayi daidai haka a keso, allah yakiyaye gaba"
1566,1,"Tanemi afuwar Allah domin shi ta sabama kuma tayi nadamar hakan."
1567,-3,"Haka akesson musulmi inyayi laifi ya tuba allah yakarbi tubanki"
1568,1,"Mabudin ilimi"
1571,-4,"Itafa gobnatin Baba Buhari bata yiwa yan arewa aikin komai ba kuma mune yan arewa muka zabeta! Allah yayi mana mafita"
1572,0,"ALLAH yajiqansu da Rahma yasa sun huta yasa aljannah firdausi ce makomar su"
1573,-1,"Yar uwa karkidamu da abunda mutane zasu fadi kanki kida mu tsakaninki da mahaliccinki"
1574,2,"Allah ya tabbatar mana da hakan, wannan ai babban alkairi ne, but musulman mun ne yakamata suyi support"
1575,3,"Inn ba rami ma ya kawo rami I ji masu hankali
Ubangiji allah yajikansu
: Allahu Akbar Talakan basarake har yanzu ananeman gindin zama
Laifinwane
ALLAH yakyauta
Lamarinku aZimun
Malam Garba da dukkan sauran malamaina
: anya kuna da labarin hanyan Gombe to yola kuwa kullum hatsari yake yafi hanya neja da kuke bayanni
anya kuna da labarin hanyan Gombe to yola kuwa kullum hatsari yake yafi hanya neja da kuke bay
ina da biki amma rashin hanya zai hanani zuwa gaskia cuz those roads na neja are deadly hollowed
kuttttt jaara baah
Ai gara hakan
Hakan yayi daidai
Garinsu kare
Har yanzu akwai cinikin bayin ne
Janxaki merikicin gangab
Sarki agida sarki adawa
Sannan kuma kokaiwaye aduniyar mulki kodanwayekai a ehisa ehirintamulki towallahi bakomaibanekai akarkash
Hmmmm dama ba addini ne gaban su ba.ALLAH ya shirye mu ameen
Yunwa ce tasa haka
Allah yayi mana arziki muma
Abin da allah yakeso shine zewanzu kometake inhar shine zabin allah tobabumakwa duhalin da akeciki allah
Gaskiya ne mahukunta sun Bata matsayin da ya fi kima aka dakatar da komai Dan ita mun gode Allah Trump ya Fadi gaskiya
Lallai yanada matukar kyau yin hakan

Allah ya gafarta musu
Allah ka saukaka mana wannan rayuwa
Inna Lillahi wa Inna Illaihi raju'un
Ai kaji matsalan Ina ruwan amirka da Najeriya kuma
Allah yarawa mai martaba lafiya
Pay after service akeyi in kaje bayan kanta zaka biya
Wadanda suke ikirarin suna juya duniya"
1576,-4," yaushe zasu saurari yesun da Basu taba ganinsa ba ma. Sai tarihinsa.
Allah yajikansa .... never get such contributions of malam
Dan Allah kotu ta zane jahili kuma akaishi gidan maza
Principal malam Muhammad khamis of 'GSS Birnin yero'
Iyayen ki ne sukai kuskure ba ke ba"
1577,19," Suna Musulmai amma sun nuna basu da tarbiyya irin ta Addinin Muslinc
Sai kace kuraye
Labari ne!!
Ai Allah yaisan ma bakaisa kafada sujiba dumin insunji cewazasuyi kazagesu daganan idan abunyazo datsauts
: Ba cinyaba kafar baya.
Malam sani muktar daura
Daga baya kenan!! Tunda kin gama nunawa dunya tsiraicinki kuma kin tabbatarwa kowa baki samu tarbiya daga
Hmm Ada ne Amma yanzu indai kashiga ko an tabbatar baka da laifi tofa sai ka biya
Chab za'a wayi Gari bamai hanu a Nigeria kenan
Halan yamin dadi gwanda ahukun tasu saboda sunlalatawa yarinya rayuwarta
Kasha labari
Ta nemi gafarar Allah dan shi tayima laifi bamu ba
Wanna yazama darasi ga kowanensu.
Gasu ko bula bula mun gani
Belbela na farinta
Dakyau gwamma ozil ya taimaka masu
Fitowa sai Allah ya isa
Allah yakara Kusanci
Allah yajikan su da Rahama

Masha Allah
Allah SWT Yakyauta dai.. Amma Fulani YOLA Ansansu Da Kunya Dai..
To shi ko miye ribarsa ta yin hakan oho.
Uncle Abdulhadee
Mallam Ahamad tijjani
Shiga ba biya"
1578,22," bita da Allah ya isa
Hmm allah ya kyauta
gaskiya malaman dabazan iya mantawa dasuba (1)maths(2)english(3)biology
Hmm.. Allah Yakyauta dai .. Gaskiya Fulani YOLA Ansansu Da Kunya... Specially Mutane Fufore ..
Ai shiga xakuje kuyi daganan ne xaku san dalilin da yasa akeyimata wanan kirarin amma mu yanxu duk amsa
Uwarta ameeican
Allah ya kara shiryamu gaba daya!
hausawa christa ai basu ce komai ba
A Kan Mi
Allahu Akbar Talakan basarake har yanzu ananeman gindin zama
Allah ya Kyauta
Mutum yakan suffanta Dan uwansa tahayar Dan uwansa na jini bazai moreshiba saidai bare
Ina sanusi yake halan wanna wahalar banxa che ka kai
Hmmm to Ina ruwan America da zaben Ondo me nasu a ciki
Ku Tambaya wa'yanda ke da ita mana
Baba ya dauko farfado aikin malaman makaranta Allah ka taimake shi.
BBC hada kudin motan akeyi a cikin kudin biro
Kowa ya san Trump sarkin katobara ne
Allah baka lafiya amin
wayyo Allah cikina Ta su Ina ruwan su da zaben mune
Sun gane da karya ce ya tafka
Dr. Ali calculus
Mufa kasace yantatta kuma mai cin gashin kanta America kiyi abunda yadameki kikyalemu.
Allah shi kyauta
Aman lalle Donal Turam yaraina mutane wai rashi tafadi
Trump dai yazama Kada
Ku baku so a zauna Lafiya koh?
Saboda motar neman masu laifi ce.
Allah ya takaita
Mgnr gsky dae bekamataba amma du mtmum dayayi kuskure yanemi afuwa to sae"
1579,-2,"ayafemae amma Allah yayafemana gabadaya
Ina ga Shawarar kawaye tabi
Fita da Allah ya isa
Sunyi daidai
Malam
Nayi farin ciki matuka da jin karin albashin malaman makaranta da mai girma shugaban kasa Muhd Buhari yayi.
Daga baya kenan
APC ana magana
Allah ya yaye mana wannan masifar
Kiyi Sallah dare kiroki Ubangijinki yayafemiki shikikayiwa laifi Allah yabaki Ikonyi
Ya kamata a hukuntashi saboda gaba
Saboda zaa zalin ceka
Allah Ta'ala ya Gafarta musu da Rahama
Allah yasa sun huta Ameen
Allah yafe mata tayi tunani maikyau
Mu muna tare da sunusi
Tun dazu muka sani
Allah ya jikan musulmai
Yayi kyau Yayi kokari
Nikam ba kwana shida ba kenan da murnar yancin kai Yanzu yaqira fitowa fili ciwa Amurka ce ke mulkarmu barayin banza mugaye
Subhanallah Allah ya karbi shahadar su
Allah ya kyauta Allah yakara tsaremu daga sharrin karfe Wanda suka mutu Allah yaji kansu Allah yasa sun huta
Allah you jiqansu.
Zanfarawa haka kuke da arziki amma ko labari babu"
1580,0,"ni dai shawarar da zan Baku akawo rumbun nan karkashin
To gashinan de kam
A primary teacher"
1581,6,"late Mal Ali Master Jigawar Danali BBR LG
Allah yakaremana sojojinmu
In secondary mal Dauda
Shiga ba biya fita da Allah ya isa
Hakika dukkanin malaman mu suntaka muhimmiyar rawa arayuwarmu"
1582,4," bamu da abinda zamu saka musu Allah kadai
Masha Allah
Allah yabada nasara
To Allah yafemana
Haba kodanaji Dan Mai hankali bazata aikata abinda taiba ta haifi ya'ya acikinta kumata kashesu Allah ya Bata lafiya
Ana biya Amma sai anje mugun wuri
Kugama duk shirmen ku karshe dai tsarin Shari'a ta musulunci itace kadai zatakai kasar nan da cigaba.
Nidai Banga laifinta ba Don iyayenta sunfi laifi a cikin abin
Aikin wani bana waniba
Ayya kinemi afuwa awajan Allah
Yesu ai namu ne bana kowa ba ko bbc"
1583,-1," duk maison yesu ai bayan musulmai suke"
1584,7," kiristoci ba soyayya suke n
Aikin wani bana waniba
Gaskiya an raina mana wayo wlh harwata kasa zatake yimana gargadi akan sabgar cikin gidanmu to nawa suke
Ya kuke fadan maganganu haka"
1586,3," yana gani"
1587,2," saiku zaku dame ta.
Gafarar Allah ya kamata ta yi ta nema"
1588,16," don shi ta sabawa
Zuciya dai ita daya ce
Humm wannan daga baya kenan Allah de yabada zaman lfy!!!
Si c'est comme a le gouvernement fait beaucoup des garons vont cesser de faire
Kugayamasu karya kukeyi injini ni dan kano ne dala local government.
Yayidaidai kotu domin shine babban mai laifi dayake yada farna a duniya
gaskiya haka yayi daidai fa a jama mata hakkin ta gare shi abin bai dadi haka ba gaskiya ina mai goyen b c
Tou wai ina ruwan su ne
Allah yaja zamanin sarki"
1589,7,"ya karawa malam Lafiya
Wai me zae hana mu yaki american nan ne?? Sun fa raina wa mutane hankali"
1590,30," muci uwarsu kawae muja musu kunne.
Ai laifinta ne....meyasa ta tura mashi videon tun farko?
Allah ya yafe mana gaba daya
Allah ya sawake
Ma'ana wani mutum ko abu dake ga alfanu ga na kusa dashi maimakon wanda yake dashi ya amfani shi sai wani can ya mureshi
Adai rinqa kai ajiyar gwal din nan Habuja. Don kar a sami qwarraru su sace har rumbun ma gaba daya.
Hakika kunyi abin yabawa. Allah ya kara basira
Amasa mummu nan hukunci saboda Gode kar wuni ya kara
Mubama fargabar asake fasalta nigeriya saidai inshuwa gabanninmu sunga da matsala to shikenan Amman inbaw C
Bama tare dakai aminu ado sunusi lamido sunusi mukeyi
Gaskiya kam nema afuwar Allah zatayi kuma ta tuba ga Allah bamu masu kallon ba
Hmm..sabida masifan ta yayi yawa
To mene nasu a ciki
Har gwal ake hakowa ai dole aita yin tashin hankali. Allah ya fidda yan zamfara lafiya daga wannan masifa.
Saboda ba a biya
Wannan karya ne
To Ai ba fadi ba sai tatallafa musu sannan ne zamusani takola da so
him allah dairy ya shirya
Wanda ya watsa fasadi daidai ya ke da Wanda ya Yi
Mai haka Kuma? Kudai Komai Mai ma Labari me
Allah ya Kara Lfy sarki Aminu ado
Wani malamin turanci Malam Samaila muna kiranshi da yeyeh boy
Fita da Allah ya isa
B b jnbujn qn
Kai karya kuk UEFA
Allah ya yafe miki
Gaskiya mulkin APC batayi mana adalci ba wlh"
1591,27," sun rusa kano suna kokarin rusa Zaria. Me yayi saura kenan?
WajenAllah za ki tuba Idan kika gyara tsaninki da Allah Kin tsira domin babu abun da dangi ko yan uwa za su miki
Balbela take da farinta
Uhm Allah kayafemana zunubanmu
Allah yasa hakan shine mafi Alkhairi
Hmmm wannan shine campaign after election. Gaskiya iyayen ta ma ba mutanen mutunci bane da had suka bar
To Allah ya gafartami ki
To Allah yasa shine mafi alheri
Allah ka karemu
Anzo wajen!
An zo wurin...maganar oye ta soma fitowa sarari
Allah bashi ikonyin wandazaizama alhairi
Tab Allah yasa takawa su amfana
bilbela take da farintah
Insha Allahu za'a maidasu kamar yadda suke ne a shekara ta kafin ayi masu sauyi lokacin mulkin Farar
Ya yi daidai
Masha Allah barakumullah fih
Masha Allah good
Sai ta nemi gafarar Allah
Daga baya kenan"
1592,0,"Wai karuwa taji mai wa'azi....
Malama kenan Allah yazabama abinda zaizama alkhairi a garemu dakuma masarautar
A zariya dai
Bazan taba mantawa da malamaina biyu ba a duniya - malamar alqur'an (Dada ummi) - malamin English dina 0
Mamana
Allah sarki malama khadija ko ta na nan"
1593,6," na daku agunta sosai
Ake sayarda sabulun
Muga video Dan Allah
Saboda dadin ta mana
Dama sun tsaya kan harkan zaben kasarsu tukunna kafin suyiwa Nigeria katsalanda.
Allah ya taimaki baba huhari
Saboda motar gwamnatice"
1594,2," kayan gwamnati kuma na kowane.
Inkashiga kyauta inzaki fita sai ka biya
Mashaallah gov Allah ya kara shige maka gaba
Kai inbaka mutuba xakaji abu dayawa allah kyauta
Hmm aikin gama yagama kawai kinemi gafara wajan ubangiji
To akawo musu agajin gaggawa sabida gwamnan nasu kullum cikin likimo yake
Ku gaya mata ta nima gafara awajen uban giji domin Shi ta yiwa laifi
Ikon Allah
Allah yafemiki tunda bakiyi taurinkaiba kinyi kuskure mun fahim tardake kin fahimta to masha allah
Karyan banxa kawae
Masha allah"
1595,18," allah subhanahu wa taala yace:  Lallai allah yanason U
Allah karawa rayuwa albarka allah jaxamanin sarki
Allah sa allah tabbatar
Kinyi kokari
To daga fadan gaskiya sai cibi yaxama kari idon bariyayi akacutarda bawan allahfa itawa sata ta aikata mummunan abu irin wannan
Yayi niyyan tozarta ta...akarshe kuma shi zai tozarta! Shiyasa inzaka gina ramin mungunta kayishi daidai wuyanka
Abintambaya anan shine..kina nadamar da neman tuba Akan irin Hoton da kika dauka Wanda ya sabama addini d
Kamata yayi ta nemi gafrar mahaliccinta ba wai neman afuwar abun halitta ba
Suna da interest a Jahan kenan
subhanallah
Suna takama da suna dashi ne da kuma rashin sanin darajan addini da al'umma.
Ahlulbaity
Affuwan ubangiji xata nema.
Na dauka an basu palliative
Allah ya shirya zuruarmu
Duk a Nijeriya ake haka. A ina shi ya samu video?
Allah yasa mudace
Allah yai Mana afwa baki daya
Ya rufama kansa asiri kenan
Afuwar Allah zata nema ba namu ba! Allah dai ya shirya.
Balbela take da farinta
Masha Allah"
1596,10," Allah yazaba masu shugaba mai albarka agaresu

Mun yaba da wannan mataki da kotu ta dauka. Sai ya zama izna ga masu wannan halayyar ta cin amanar tsohon
yakamata a hukuntashi sosai
Allah yasa ayi masa daurin shekaru masu yawa a gidan yari
Yakama
Subahanallah!
Tadai roki Allah gafara ba mutane ba
Toh duniya xata nema yafiya awajenta ko kuma Mahaliccin ta da ta sa6amasa?
Ba yada hotunan bikin naki ne abin qiba"
1597,6," face suturar da kika saka ne alokacin da Allah yayi miki ni'ima
Allah yakara lfy Sharif
Allah ya kyauta
Allah ya yafe miki ya kuma yafe mana gabaday... ameen. Ma sha Allah
Alhmdllh
Baku ganeba kenan ai haryanzu mulkarmu ake"
1598,-1," sakamokon rashin adalcin shugabanni ne yajo hakan.
Wannan shine yadace"
